Column1;Column2
banyak orang dari manca negara berwisata ke pulau Bali.;ba?nnya' re?ng manca nagha?ra? akale?nja?r ka polo bha?li
tidak punya modal.;ta' an?i' bha?n?ha?
sekali berbuat kedurjanaan, perbuatan-perbuatan baik yang lalu tidak diperhitungkan orang lagi;bha?ndheng sabha?la?nan e?pata?a?' rong-ke?rong se?ttong 
jangan suka membeli ikan bandeng, ikan bandeng tulangnya banyak, jangan bersuamikan orang tampan, orang tampan banyak hutangnya.;jha?' me?lle?an jhuko' bha?ndheng, jhuko' bha?ndheng ba?nnya' tolangnga, jha?' alake?an ore?ng ga?nteng, ore?ng ga?nteng ba?nnya' otangnga 
di mana pemakaman cina, mari gali peti matinya, mana jalannya cinta, akan ikut ke rumahnya.;kemma jha?raddha? ce?na, ayu' koro' pandhusana, kemma jha?la?n tare?sna, noro' aka bengkona 
kalau mau mancing jangan lupa membawa umpan;mon mance?ng jha?' kaloppae? nge?ba? bha?ne?
mancing pakai umpan udang;mance?ng abha?ne? o?a?ng
anak perempuan cantik itu suka tertawa.;kana' bine?' raddhin rowa ce?' bha?ngerra
banyak pria mau menang sendiri, tidak berpikir panjang, sedih hati ini, keterlaluan! perasaanku sungguh sangat sedih.;ba?nnya' re?ng lake?' karebbha? dhibi' ta' me?kke?r lanjha?ng se??hina ate?, kabha?ngeddha?n! tang prasa'an se??hi ongghu
di alun-alun kota Bangkalan banyak pepohonan kayu besi.;e? lon-alon ko??a bha?ngkalan ba?nnya' ka'-bhungkaan gombor
berbantal ombak berselimut angin;abha?ntal omba?' asapo' ange?n 
beratnya atau sengsaranya nelayan pada waktu menangkap ikan di laut;berra?'na ore?ng se? amaja?ng me?gha?, jhuko'e? tase?'
dikatakan kepada orang yang suka memfitnah, yang pada akhirnya mendapat malu sendiri.;aba?li ka bha?ntal te?kerra dhibi' 
penuh dengan barang dagangan;sarat klaba?n bha?ra?ng dha?gha?ngan
orang itu sangat gampang marah.;ore?ng rowa ce?' bhra?ngassa?
ibu mona mengambil pembantu dari desa;bu' mona ngala' bha?reng ?a?ri dhisa
essu itu pembantunya mbak supi'.;essu rowa bha?rengnga mbak supi'
ketika diambil, saya malah dimarahi;bha?reng e?kala', se?ngko' ma' pas e?ombha?ng
ketika selesai lalu terkejut sesegera mungkin menghindar.;bha?reng la mare? lajhu takerjha?t pas dhuli ne?se?
siapa yang ditemani?;sapa se? e?kabha?reng?
perlu apa adiknya terburu-buru mau pulang?.;parlo apa ale?'na ma' kabhuru se? mole?a?
belum terlalu malam;malemma ghi' bha?ri'
belum terlalu pagi.;lagghuna ghi bha?ri'
piringnya jatuh lalu pecah;pe?re?ngnga gha?ggha?r pas bha?sa
tempurung tempatnya, terendam kuahnya, sampai batas akhir keinginannnya, senang orang tuanya.;bha?tok ba???ha?na, ngemmeng kuwana, totok sajjha?na, senneng re?ng towana 
halaman becek semua;tane?yan bheccer kabbhi
selesai hujan jalanan banyak yang becek;samare?na ojha?n, jha?la?nan pa?a? bheccer
meski becek berlumpur jika tidak maka akan becek, meski bagus telaten, jika tidak maka akan cinta.;sala le??hu' le?ce?n, ?hik lo' bheccerra, sala bha?ghus prate?n, rjhik lo'  ne?serra 
keluar dari arah timur, muncul dari arah timur, datang dari arah timur;me??ha?l ?a?ri te?mor
keluar dari pintu.;me??ha?l ?a?ri laba?ng
tidak disangka akan bertemu denganmu, tertegun lalu saling tersenyum.;ta' e?sangka se? tatemmowa so dhika, bheghegghenan pas pa?a? me?sem
kakinya tertusuk beling;sokona tecoco' bhelling
hatiku sangat gusar;tang ate? ce?' bhellissa?
memendam rasa rindu.;men?em rassa kerrong
ya memang benar!;iya? lakar bhen?er!
tidak baik apa yang diperbuat;ta' bhen?er se? e?kalako
jangan membiarkan hati menjadi bengis.;jha?' norodhi ate? dha?ddhi bhengnge?s
menimba air bersih lagi bening.;ne?mba? ae?ng bherse? tor bhenne?ng
semalam suntuk aku terbayang-bayang akan dirimu.;samalem bhente?ng bula? ja?ng-ba?ja?ngan ka dhika
kalau nasi tempat wadahnya pincuk, kalau zakat haknya orang fakir miski;mon bherkat ba???ha?na take?r, mon za?kat ha'na ore?ng fake?r 
nasi sudah menjadi bubur, tidak berguna lagi, sia-sia belaka;bherra?s dha?dhi tajhin 
hujan disertai angin yang tidak terhenti-henti.;ojha?n ange?n ra' bherreng
anaknya yang nakal dipukul berkali-kali menggunakan penebah.;ana'na se? melle?ng e?bhesbhes ngangghuy penebbha?
mencabuti bulu ayam.;mitbhit buluna aja?m
jangan mempercayai fitnah.;jha?'partaja? ka bhittenna
anak bapak Mat itu sangat nakal sekali.;ana'na Pa' mat rowa ce?' bhlengngerra
orang desa berjalan kemana-mana mencari air dimusim kemarau.;ore?ng dhisa abhlinte?ng se? nyare? ae?ng e? mose?m nemor
orang-orang yang berjudi lari berhamburan karena mau ditangkap polisi.;re?ng-ore?ng se? amae?n ju?i pa?a? buru abhlitsadha?n amargha? e?tangkebbha? plisi
anak perempuan itu sangat ramah.;kana' bine?' rowa ce?' bhra?ncana
orang itu sangat gampang marah.;ore?ng rowa ce?' bhra?ngassa?
orang yang menyembah sungkem kepada Budha.;ore?ng se? nyembha? nyongkem ka bhu??ha?
cinta itu buta, terlanjur erat tali ikatannya.;tare?sna ne?ko buta, ka?ung serret sambhughella?
sekalian rusak bubarkan semuanya.;san-me?san rosak pabhuja?r kakabbhi
kelereng ini banyak cuilnya.;le?ker re?ya ke?'-bhukke?k
dipoles dengan cat warna putih.;e?bhula?s bi' ecce?t ba?ma pote?
kakinya dibelit ular.;sokona e?bhulet olar
bauyak pohon cemara.;ba?nnya' bhungkana comara
jangan terbwu-buru nanti jatuh;ajjha?' ru-kebhuru ?a?gghi' labu
apa kamu baru saja datang?;apa ba?'na bhuru ?a?teng?
pohon pinang yang tidak terlalu tinggi, burung manyar hinggap di dahan pohon turi, sungguh disayangkan kalau tidakjadi, karena sudah botak yang bersisir;pe?nang se? ta'  te?ngghia?, mana'  be??ak nongko' e? toroy, e?man se? ta' dha?ddhia?, kare? bhutak se? asoroy 
mencabuti bulunya ayam;mutbhudhi buluna aja?m
mencabut bulu ketiak.;mutbhut bulu kle?ncabha?n
bermain-main beserta teman-temannya.;e?n-mae?nan bi' kancana
rumahnya berdinding gedek;romana atabing bi?hik
kemarin ayah membeli gedek.;ba?ri' rama ngoba?nge? bi?hik
makan mangga tiga buah.;ngakan pao tello me?gghi'
jangan terlalu banyak makan biji buah nangka, nanti bisa sering kentut.;jha?' nya'-ba?nnya' ngakan bighila?n, ?a?gghi' akento' ros-terrosa?n
bangun tidur ada kotoran disudut matanya;jha?gha? te?gung abila?'a?n
dikatakan kepada orang yang tergopoh-gopoh dalam mengerjakan sesuatu, sehingga hasil pekerjaannya kurang baik seperti yang  diharapkan;gha?ncang ta' nyapo' bilis 
manusia bisa dibujuk atau dikuasai dengan budi baik dan mulut manis, nyatanyata kena tipu.;bilis mate? ka maddhu otaba? cokka 
bibirnya bengkak semua terkena hantama;bibirra? bingngol kabbhi
bintang pagi, rasi bintang waluku;bintang nanggha?la?, bintang apoy, bintang bhra?ndha?s, bintang te?mor
bintang puyuh, bintang kertika;bintang kerte?ka, bintang gha?rte?ka
dicubit sedikit saja sudah cengeng.;e?tobi' ?hig?hi'bha?i la birnye?
dengan menyebut nama Allah yang Maha pengasih lagi Maha penyayang.;bit asma e?pon Allah se? Ma'a Mora tor Ase?
tidak terbilang, tidak terhitung, tidak bisa dihitung;ta' e?kenne?ng bitong
dikatakan kepada orang yang membeberkan kejelekan famili, sanak keluarga sendiri kepada orang lai;mi??a' buri'e? jha?la?n raja?, abi??a' buri' tengnga e?mhong 
biasakan supaya tidak lupa;biyasaaghi ma'le? ta' loppa
biasanya kalau sudah malam nyamuk mengerubung.;biyasana mon la malem rengnge?' ngarobung
ibarat orang lama berkelana dan pulang ke tanah kelahirannya, tentu dia enggan keluar lagi.;blibis mole? ka raba? 
saya berasa mau muntah bila makan kue ini.;se?ngko' arassa bliya?t mon ngakan jha?jha?n re?ya
tidak memakai sekat.;lo' ngangghuy bra?na
badan saya terasa meriang semua.;tang bha?dha?n arassa briya?ng kabbhi
saya tidak suka melihat anak yang nakal itu.;se?ngko' briya?ng ngate?la' kana' se? meller rowa
terlambat, paling belakang yang datang;pale?ng bu?i se? ?a?teng
garam dan cabai' lombok untuk sambal;buja? cabbhi, ja?i re?nge?s
terasa hambar karena kurang garamnya;arassa ce?a polana korang buja?na
saya adalah orang Madura.;bula? pane?ka ore?ng Madhura?
menjolok bintang malah bulan yang jatuh;gha?i' bintang gha?ggha?r bula?n
jenis celurit berbentuk mirip bulu ayam;are?' bulu aja?m
berdiri bulu roma, kuduk;manjheng buluna kole?'
jauh di sebelah barat;e? bun ba?ra?'
jauh di sebelah timur;e? bun te?mor
jauh di sebelah selatan;e? bun lao'
jauh di sebelah utara.;e? bun ?a?ja?
rumahku menghadap ke selata;tang bungko a??hep ka lao'
baru saja bangun tidur.;ghi' bhuru abungo
saya tidak tahu apa-apa, hanya mengekor saja.;se?ngko' ta' tao pan-apan, ke?ng la noro' bunte?' bha?i
takut tertangkap polisi, maling itu lari ke tempat yang jauh.;tako' e?tangkep plisi, male?ng rowa buru ?a?' jha?una
mangganya banyak yang busuk.;paona ba?nnya' se? busso'
lupa diri, lupa akan asal penderitaan dirinya, sehingga ia berubah menjadi congkak.;buta bhuru mella' 
waktu yang terbuang;ba?kto se? tabuwa?ng
siapa bilang tidak akan mengerti;ca'na se?ra se? ta' ngarte?a
boleh dibilang saya ini tidak punya uang;ca' oca'an se?ngko' re?ya ta' an?i' pe?sse?
seperti pembicarakan masa yang lalu itu;mara ca'-oca'an lamba?' rowa
katanya bukan mangga, tapi diiris, mungkin masih muda, katanya tidak tertarik, tapi malah dilirik, mungkin hanya senang.;ca' e?pon lo' pao, me?'  e?se?kse?k, ke?ng mance?r ngara, ca' e?pon lo'  terro, me? e?le?re?k, ke?ng terro ngara 
dikatakan pada orang yang menginginkan pekerjaan yang lebih banyak dari pada yang dipunyai sekarang, tamak dan serakah;cabbhi nantang lalap 
besar badannya tapi bebal atau pandir;ja?-raja?na cabbhi mekkasa?n ta' pe??hes 
lomboknya berwarna amat merah, tegalnya ditanami ketela, engkau cantik siapa namanya, saya ingin mengenalmu;cabbhina ce?' ra-me?rana, teggha?lla? tamenne? te?la, dhika raddhin se?ra nyamana, bula? ferro se? kennalla 
ini lombok bawa kesana, buat sangu untuk naik perahu, jangan sedih dan jangan susah, cuma hanya bersenda gurau;ya' cabbhi ke?ba? kassa, kasango apraoan, jha?' se??hi ba?n jha?' sossa, coma ke?ng co-kocoan 
bercebur ke sungai;acabbhur ka songay
tercebur ke sumur;tacabbhur ka somor
dikatakan pada orang yang telah terlanjur melakukan sesuatu;kare? ba?cca acabbhur sakale? 
pekerjaan yang sia-sia.;cabhul ajha?ngo langnge? 
banyak yang akan dikunjungi;ba?nnya' se? e?cabissa?
siapa yang mencabut?;sapa se? nyabut?
berbicara dengan memakai tatakrama;acaca ngangghuy tatakrama
sudah satu jam yang berembuk, tapi hanya pembicaraan yang tidak ada gunanya;ampon sajha?m se? aparembha?gha?n, nange?ng caca matta bisaos
bila menyuruh-nyuruh kamu, tidak bisa diharapka;mon aro-soro ka ba?'na ta' bisa e?cagherraghi
tulisan cakar ayam;tole?sa?n cakar aja?m
jangan suka mencela-cela orang;jha?' dhuja?n le?-cale?an ore?ng
jangan sering menyela pembicaraan orang lai;jha?' dhuja?n ko'-nyalko'
lenganku banyak terluka diterkam kucing.;tang tanang loka kabbhi e?calma' koce?ng
perasaan yang seakan-akan terjatuh di dalam hati.;rassa caltong ?a?lem ate?
dikatakan kepada orang yang selalu memuji-muji dirinya sendiri.;mara ore?ng nabhhu canang 
jangan bersedih hati;ta' osa atampa cangke?m
membeli cangkir di Pasar minggu, ditahan-tahan hanya karena menginginkan, jika dipikir dengan sungguh-sungguh, kenyataannya besar penghasilannya.;melle? cangke?r pasar me?nggu, e?ja?-kaja? ke?ng terrona, mon e?pe?kke?r kalaba?n ongghu, nyata raja? panre?mana 
dari terlalu lamanya yang berdiri betisku sampai terasa kejang kaku.;?a?ri abiddha? se? naddhek tang bette?s dha?gha? arassa cantengngan
menciduk air memakai gayung;nyello' ae?ng ngangghuy cante?ng
membatik memakai alat canting;abha?te?k ngangghuy cante?ng
mempersembahkan cinta dengan seribu senyuma;nyaos tare?sna sae?bu pe?sem
meneteskan air mata;nyapcap ae?ng mata
pak tani memakai caping.;pa' tane? acape?ngan
masih mendapati waktu subuh;ghi' nyapo' sobbhu
kamu tidak akan bisa menyamai ketampanan anak itu;ba?'na ta' ke?ra nyapo' ?a?' ga?n?engnga kana' rowa
kampung lebak terkena banjir;kampong lebbha?k e?capo' ba?'a?
dikejar tapi tidak tersusul;e?taba?ng tape? ta' kacapo'
ramai sekali, gaduh, biasa dikatakan kepada sekelompok orang yang berbicara masing-masing dengan bingar bingar;cara pasar kojhu' 
darahnya berceceran dimana-mana.;?a?ra?na acare?cce?dha?n e? mankamman
karena sering ingkar janji saya sampai merasa kesal hati.;polana segghut lopot jha?njhi, se?ngko' po'-capo' caremmet
jangan banyak berceritera.;jha?' ba?nnya' care?ta
tidak ada yang ketinggalan?;ta?a?' se? ce?cce?r?
bersamaan dengan itu anginnya telah reda.;bhinareng ange?nna pas ce??hu
gurauan itu membahayaka;gha?ja?' ja?re?ya nyelakane?
ketela berulat berwarna hitam, pisang belah ada dibawahnya, kalau malam tidak tentu gelap, terang bulan sungguh sangat indahnya;te?la oreng ba?rna celleng, ghe??ha?ng bella? e?ba?ba?na, mon malem ta' tanto petteng, pa??ha?ng bula?n ce?' pernana 
menghitam bijinya juwet, menunggang kuda jatuh terlungkup, jangan terlalu senang beristeri dua, panas harta dan terlilit hutang;ngacelleng bighina dhuwa?' , nompa' jha?ra?n labu napang, jha?' neng-senneng abine? ?uwa?' , panas bha?ra?ng raja? otang 
naik becak bercat kuning, payung hitam dirodanya, bagaimana kalau tidak berhasil, terlanjur senang akan wajahnya.;nompa' be?ca' ecce?t kone?ng, pajung celleng e? ro?ana, ?a?'ra?mma mon lo' e?kenne?ng, kare? senneng ka roba?na 
berteduh ditempat yang sejuk;anaong e? kennengngan se? cellep
sakit panas dingin;sake?' panas cellep
cepat dimakan nanti keburu dingin;dhuli kakan, ?a?gghi' capo' cellep
kalau dingin jangan berselimut, mengambil selimut di ranjang, kalau punya keinginan jangan takut, mas emmut anggap bujanga;kalamon cellep jha?' po'-sapo', ngala' slimut e? ranjang, kalamon karep jha?' ko'-tako' , mas emmut angghep bujang 
kerap sapinya, tengger cemetinya, cerai suaminya, saya sebagai gantinya.;kerrap sape?na, tongko'  ceme??e?na, tellak lake?na, se?ngko' gha?nte?na 
sambalnya sangat pedas.;ce?ngena ce?' pe??hissa?
segar dan asri.;cengngar tor asre?
aku termenung memikirkan dirimu;cengngeng bula? me?kke?re? dhika
ditempeleng sampai miring kepalanya.;e?pacentar ce??aggha? me?re?ng
kalau berbicara jangan terlalu nyaring.;mon acaca jha?' te?ng-kecen?e?ngan
mengambil nasi menggunakan centong.;ngala' nase?' ngangghuy ce?n?ong
akan ditelan bulat-bulat.;e?ceppa'a ontal malang
apakah bisa dipercepat?;bha?' bisa'a e?paceppet?
cat berwarna hijau tua;ce?t aba?rna bhiru towa
rumah yang bercat kuning;roma se? accce?t kone?ng
membuka aibnya sendiri di khalayak ramai.;nyello' buri'e? tengnga jha?la?n 
saya bersama teman-teman berjalan-jalan ke pelosok desa yang sangat terpencil.;se?ngko' sakanca'an akale?nja?r ?a?' dhisa e? ?ong-ce??ongnga
sotonya berasa hambar, barangkali kurang garamnya.;sotona arassa ce?ya, la-pola korang buja?na
kuahnya berasa hambar.;kuwana arassa ciya
musuhnya mati terkena tusukan keris;mosona mate? kenne?ng coco kerre?s
kakinya tertusuk duri;sokona te coco' ?uri
paling enak makan kepiting yang dicocol ke cuka bercampur lombok.;pale?ng nyaman ngakan pe?te?ng se? e?dheddhel ka cokka campor cabbhi
cukup sampai disini saja;cokop gha?n kanna' bha?i
pisau untuk mencukur;to?i' penyokor, ja??hing pemaras 
obat yang diberi kakak itu sangat manjur.;obha?t se? e?berri' kaka' rowa ce?' nyokoddha?
dikatakan kepada orang yang sangat suka menyampaikan kejelekan orang lain;sajha?ng-lanjha?ngnga Jha?la?n ghi' lanjha?-ngan cola' 
bambu ditebang daunnya berjatuhan, orang merokok tentu mulutnya terbatuk-batuk.;perre?ng e?toko' , ?a?unna arontoan, ore?ng aroko' , colo'na aba?to'an 
kue nagasari ditukar kue lepat, lalu hilang rasanya, jika matahari perlahan akan tenggelam, wajah sudah tidak bercahaya.;nagha?sare? porop leppet, ma' lajhu e?lang rassana, ?u mon are? laon compet, ropa e?lang caja?na 
bunyinya memekakkan telinganya.;monye?na complengngan ?a?' kope?ng
rumah anda dimana?.;compo'na sampe?yan e?ka' ?imma?
jangan mendorong-dorong kepala.;jha?' kot-congkodha?n ce??ak
kamu sebagai anak yang lebih tua selayaknya memberikan contoh yang baik terhadap adik-adikmu.;ba?'na kana' se? lebbi towa maste?na nyontoe? se? becce?' ka le?'-ale?'na
yang sudah dibuang atau dihinakan tidak layak dipungut atau dimuliakan lagi.;copa mon gha?ggha?r ta' kenne?ng e?jhila?t pole? 
es lilinnya diemut.;e?s lilinna e?copcop
menempati rumah yang sangat sempit;ngennengnge? rama se? pe?'-cope?'
seperti tak akan berpisah;cora' se? ta' ape?saa
kaos penutup dada, kutang warna hitam dijadikan kemdung, kurus disebabkan olehmu, siang malam tidak bisa tidur.;kaos topona ?a??a?, kotang celleng gha?ba?y ko?ung, koros margha?na se??a?, se?yang malem ta'  nye???a? te??ung 
jangan dimiringkan nanti bisa rusak.;jha?' pame?re?ng ?a?gghi' rosak
membayar dam seekor kambing.;maja?r ?am se?ttong embe?'
pintunya jangan dibuka terlalu lebar.;laba?ngnga jha?' ?ar?ar
dari dulu sampai sekarang;?a?ri lamba?' sampe?' sate?ya
dari atas ke bawah;?a?ri attas ka ba?ba?
dari sebab itu.;?a?ri seba?b rowa
dari miskinnya sampai tidak mampu membeli beras;?a?ri me?ske?nna dha?gha? ta' bisa melle? bherra?s
adikku terdiam saking bingungnya;tang ale?' ta' acacaan ?a?ri bhingongnga
karena sangat sakit sampai menangis menjerit-jerit.;?a?ri sake?'na dha?gha? nange?s arat-tarat
dasi berwarna hitam ini adalah kesukaan saya.;?asi ba?rna celleng re?ya neng-sennengnga se?ngko'
daun merah hati;?a?un ba?ra? me?ra
anaknya yang bungsu bertubuh pendek dan gempal.;ana'na se? bungso bekdembek
saya tidak terlalu ingat akan sanak faimili di Madura karena sudah lama tidak pernah pulang.;kaula? namong nga'-e?nga' dha?ba?' ?a?' la?-bha?la? e? Madhura? karana ampon abit ta' one?ng pale?man
saya diberi perintah oleh ibu.;abdhina e??ha?bui sareng e?bhu
jatuh sampai lebam semuanya;labu dha?gha? beddheng kabbhi
saking takutnya sampai gemetar.;sake?ng da?ri tako'na dha?gha? ngetter
siapa yang bekerja dengan keras akan hidup sejahtera;sapa adha?gha?ng adha?ghing 
dikatakan kepada orang yang berperilaku aneh atau tidak wajar karena ingin memamerkan sesuatu kelebihan yang sebenarnya tidak ia miliki.;dha?gha?ng tona, adhu' um bha?fe? 
muncul seketika tanpa disangka-sangka.;omba?r dha?ksakala ghu na-nyana
tidak akan pernah berangkat;ta' dha?la? se? mangkaddha?
sampai menyingkir semuanya;dha?la? ne?se? kakabbhi
kediaman anda dimana?.;dha?lem e?pon panjhennengngan e?ka' ?imma?
jam delapan senapan kecil, berbunyi nyaring diatas pohon bambu, jangan keterlaluan sebagai seorang perempuan, jangan merusak rumah tangga orang lai;pokol ba?llu' bhe??hil ke?ne?' , krattasa?n attassa? perre?ng, jha?' lu'-dha?llu' dha?ddhi re?ng bine?', jha?' marosagha?n lake?na ore?ng 
saya dikira saudaranya.;se?ngko' dha?mo' tare?tana
tidak lama lagi;ta' andha?n pole?
didarat dan di laut.;e? ?ha?ra?t ba?n e? tase?'
buah delimanya semoga manis, dibuat rujak semoga kecut, akan ditinggal semoga menangis, kakak mengajak saya mau ikut.;dhelimana mandha?r mane?ssa, e?rojha?ggha? mandha?r ce?lo'a, e?dhina'a mandha?r nange?ssa, kaka' ngajha?k se?ngko' noro'a 
mendempul perahu yang bocor.;a?hempol parao se? bhucor
burung perkutut jangan disangka burung dara, ayo tangkap lalu beri makan jagung, mengatakan tidak jangan disangka iya, meski sebentar bisa ngeloni tidur.;ra?'-dherra?' jha?' sangghu dha?ra?, ayo'  pe?gha?' pakane? jha?ghung, ja?'-enja?' jha?' sangghu iya?, tekka sakejjha?' ngellone? te??ung 
