Indonesia,Madura
kertas i rusak beluba-luba dimakaeat.,dhâlubâ rèya rosak abâ-lobâ èkakaet-et
badaterasa gemetarasemua.,bhâdhâarassa etter kabbhi
setiap hari kakek membawa kambia ke lapaaya baak rumputa.,sabbhâarè emba ibâ embi' ka pakaraasè bâya' rebbhâ
memiam buku ke temau,ihâm bukeu ḍâ' ta kaa
tidak pua ua iimemiam.,ta' ai' pèssè terro ihâmma
apia telah meala tigi,apoyya la obbhâl
membakar sampah pada saat lait mulai meu.,obbhâr sarpaaèbâkto laè' teppa' oem
ya lebih muda,sè lebbi oḍâân
peara tempat mehukum ora ya berkelakuatidak baik.,peara keeaa okom orè sè alako ta' beccè'
ayah meukur paaa pagar,rama okor lahâa paghâr
"sebelum dijahit, peahit harus meukur kaiya.","sabellua èjhâi', toka jhâi' kodhu okor kaèa"
bara apra cepat ditiup agar berasap.,margâ dhuli sarèpo ma' lè okos
terhadap ayaha meebut rama.,ḍâ eppa' olok rama
meumpulkaua uuk membeli mobil.,ompolaghi pèssè kaaghuy mellè mobil
padia telah meu semuaa.,paḍi la ò kakabbhi
ibua meusap ubuubuaka,èbhu osap buembua a'
meusap dahia ya berkeriat.,osap ḍâi sè apelloan
jika meium bebauaya meeat saya mesti muah,moèḍi u-bâu sè ea' sèko' mostè ota
sakit pas sampai muah-muah.,sake pas dhâghâ ta-ota
merawat ora sakit.,rabâdhi orè sakè'
ora ya sudah tua itu meakut batu besar sampai kelihataurat-urata.,orè seppo rowa ako' bâto rajâ dhâghâ ree ra'-ora'
aka ya busu tadi malam sakit pas demam.,a' sè buso malemma pèrèpè
rambuta meluruh setelah melahirkaaka ya busu,obu' roo saella rèmbi' a' sè buso
dauya meeri merook semuaa.,ḍâusè ella kerrè paḍâ roo kabbhi
jaamerusak kepuaaora.,ajjhâ' sakrosak ai' orè
megulu be laya-laya,ulu bola' lajâan
kamu tidak akabisa megulu be kusut.,bâ' ta' kèra bisa ulu bola' salèka'
semoga meapatkakarua dari Allah ya Maha Peasih lagi Maha Peaya.,malar mahâr èparèè ka'madhâsare Allah sè Maa Mora tor Asè
memba air di sumur,mbâ aè è somor
memba air di sumber air.,mbâ aè è sombher
"sebelum melaksakasetiap ibadah haros berat terlebih dahulu di dalam hati, tidak boleh dilafadka","sabellualakò sàyap ibâdâ kodhu ayat è ḍâlem atè, ta' ollè èlafataghi"
sebelum masuk ke rumah ora harus terlebih dahulu meetuk piu.,sabellumaso' ka roma orè kodhu kṭok labâ ghâllu
melak taaa tidak mau.,lak tahâ ta' eâ'
membau mearikapiamaua.,loè arè èhâmapèssè
memuut buah-buahaya jatuh dari pohoya,lo wâ'-buwââsè ghâgghâr ḍâri bhuka
meambil jemurakare hampir turuhujan,lo jhemmorapola para' ojhâa
meearai sepeda ekol.,mpa' sapèga paal
ayama ya berbulu putih berteger didahapohomaga.,ajâmma sè abulu potè ko'-ko'è raa' bhuka pao
membuk beras sampai meadi tepu.,ta bherrâs sampè' dhâddhi teppo
ayama saat jik.,ajâmma cè' toddhâ
meakaair ke dalam cakir.,tta' aè ka 9âlem cakèr
membagi meadi tiga.,'um dhâddhi tello'
meuapi aka ya masih kecil.,lâ a' sè ghi' kè̀'
meruh pakaiake dalam lemari,abâ' kalambhi ka ḍâlem lomarè
meletakkabuku di atas meja,abâ' buku è attas mèjâ
jika meebera jalaharus meleh terlebih dahulu agar tidak ditabrak mobil.,moabbhrâ jhâlâkodhu lè-tolèadhâllu ma' lè ta' ètabra' mobil
mealami tamu ya baru saja data.,alamè tamoy sè ghi' bhuru ḍate
masuk dari bawah saru.,alo'è bâbâ saro
saat ek masakaya kalau satu makok rasaa masih kura,amaoghu la-ola mosatobu arassa kora
"kare mati lampu, aka memeluk erat-erat ibua kare ketakuta",pola pettea a' ambhellut ka èbu' pola katako'an
buru ela meambar tikus di teah sawah.,ma' ka-séka' ambher tèkos è tea sabâ
bila ditaai oleh ora tua cepat meahut.,moacaca bi' orè towa dhuli ambhit
meambu tali ya putus.,ambhu talè sè pegghâ'
saya iimemiam cakul.,kaulâ te ambhuddhâ lau'
tukaa seda meampur semekapur dapasir.,tokaa laghi' ampor semmèkapor bi' beḍḍhi
saya tidak meuga,ta' a abâ'
pugua meaar ke tembok kare saat letih.,bellâkaa aâr ka tèmbo' amarghâ cè' lesso
mekap deataabuah juwet ya dilemparkadari atas poho,ahâk buwâ dhuwâ' sè èoalaghi ḍâri attas bhuka
aku tidak tahamelihat wajahmu ya cemberut.,bulâ ta' aghâ alè olat jhâmo
meaka belum diberi.,aghu ghi' ta' èberri'
polisi meduh tetagaku ya meuri tadi malam.,polisi aka ta tataghâ sè èco' malemma
"perbaaklah berbekal pahala, mumpu masih hidup.",pabâya' ao ghâhârâ mompo ghi' oḍi'
layaaya tersakut diatas pepoho,lajâaa asa è attas ka'-bhukaan
meapa di jalan,apa è jhâlân
selesai bertekar sali bertegur sapa.,marè atokar pas sala apa
meapu halamaya kotor.,apo tàyasè rombu
masih meapati waktu subuh.,ghi' apo' sobbhu
"mari saudara-saudara semuaa, membaca Al-fatihah secara bersamà-sama.","ara tatarètasadhâjâ, maos fatèha are-sare"
"itu layar kelihataputih baak sekali, perahua sama-sama berlayar satu keiiuuk meju pulau Madura.","rowa' lajâr arapo' potè, parao paḍâ alajârâsètto kakarebbhâjjhu ka polo Madhurâ"
taha berdebu berterbaaditiup am.,ta arbu èsapsap aèn
meari kema-ma,arèè ḍâ' maḍimman
mobil ya ebut itu hampir meerempet sepeda.,motor sè ebbut rowa para' arèbhiddhâ sapèḍa
telura kupuku pu terkumpul baak di atas dau,tellorra kapper cekarekcek è attassâ ḍâun
para perempuakalau sudah berkumpul biasaa sama-sama ceriwis.,orè bâbì' mola apolo biyasa paḍâ arèpèt
meari ikabae ya dipelihara di tambak.,âri jhuko' bhâhe sè èobu è tambhâ'
meup-up api dituku agar meala besar.,po-arèpo apoy è toma sopajâ rebbhâ
memakai kaipaa terlalu paa sehiga meeuh bergeser di tah.,"aghuy sampèr lahâ ghâllu, saèghâ arkot ka ta"
pada pagi hari baak ora meuci pakaiaberjejer-jejer di pigir suai,è bâjâ lagghu bâya' orè assa kalambhi ajhir-jhijhir è pèghir soay
ora desa meuci pakaiya di sumber mata air atau sumur.,orè dhisa assa kalambhi è sombher otabâ somor
semakilama semakiata bahwa ora itu tidakjujur,sajâabit sajâata jhâ' orè rowa ta' jhujhur
membelah buah ka.,èbâ' buwâ ka
kare marah lalu meobek-obek bukua.,amarghâ pegghel pas bhitebbhit buku
"kalau terlalu baak mim es, gigiku terasa saat ilu.","mobâya' ghâllu èm ès, ta ghighi arassa cè' èlo"
meimpaua ke ba.,èmpepèssè tjâ' ba
meiram tamaya baru bertus.,èram tameasè ghi' bhuru elbi'
bau bakaia tikus meeat ke hidu.,bâu bhâṭaa tèkos erebbhet ka èlo
meium bau-bau ya harum.,èyom u-bâu sè ro'om
tulaku terasa berdeut-deut kare terke hawa dii,ta tola arassa o'o' amarghâ èkeè hâwâ cellep
muluta dimookakare seda marah.,colo' èpao'o pola teppa' pegghel
k ya sudah tua itu keluar dari hutasambil meuu kayu-kayu keri.,emba bì' sè la towa rowa kalowar ḍâri alas sambi oo'oju-kaju kerrè
meis sambil metup wajah.,ès sambi okem
obat i mema ber-ber ampuh.,obhât rèya lakar okot oghu
meumbat hidu kare berbau busuk.,ompet èlo amarghâ abâu bâse
meumsum sampai ke tula sumsum,omsom ka tola
membokar-bokar bara ya ada di lemari.,kar-okar bhârâ sè bâḍâ è lomarè
meukem kepada ora tuaa.,okem ka orè towa
"dikarekasakit tidak kuu sembuh, badaya meadi lebih kurus.",amarghâ sakè' ta' râs-bârâs bhâdhâa osot
"terlalu lama diperam, ka itu meadi lembik.","abit ghâllu sè èokep, ka dâddhi oror"
ayah meuruh uuk membeli rokok.,rama ro-oro mèllè roko'
meisir rambuta ya ikal.,oroy obu' sè pelikker
meemput ke rumaha.,osol ka roma
ora gila ya berada di depasekolah itu rambuta baak beruba,orè ghilâ sè bâḍâ è aḍâ' sakolaarowa obu' bâya' obâa
"bila lait sudah meu, kku biasaa meambil daudaukeri, dikumpulkalalu dibakar, kataa biar tidak turuhuja","mabi laè' pola oem, emba kaulâ biyasa mohut uḍâukerrè, èpalolo lajhu pas èobbhâr, ca'èposopajâ ta' dhâddhi ojhâa"
sekrupa diputar memakai obe.,sekorobbhâ èpoter aghuy obhi
dikatakakepada ora ya mempuai keiiseteah-seteah sehiga cepat hilaa.,mara obhur kalarè 
rambut putih dahitam sama baaka.,obu' ambhel biJjhâ
mempuai tematapi tidak bisa dipercaya perkataaya,ai' kaa tapè ta' keè teggh u' oca'
peaga sawah saat waktu pagi meusir buru ya memakapadi ya sudah meu.,maoa sabâ moghulagghu oddhâk ma' sè akapaḍi sè akò
meabut-cabut rumput di pigir pemata sawah,dhut-oddhut rebbhâ èpèghirrâ sabâ
tamaya mati cepat dicabut.,tameasè matè dhuli oddhut
cucua akadiberi ua tapi tidak mau haa megele.,kompoyya èberri'â pèssè tapè kè aoè
gigia goyah hampir tagal.,ghighi oghâ para' colpagghâ
"badau terasa gerah, mukihampir turuhujua","ta bhâdhâcè' ojâa, la-pola para' ojhâa"
dikatakakepada ora ya suka membual dalam meukkakebaikabudi pekertia seiri.,ojhâghi bujâ dhibi' 
"maga ya dipetik kemariitu baak ya belum masak, bila iilekas masak diperam dulu.","pao sè èpolo bâri' rowa bâya' sè ghi' ta' massa', moterro lekas massa'a dhuli okep"
talia cepat dibuka,talè dhuli okkalè
berwar agak putih memudar,abâma potè olay
wajaha pucat pasi.,robâ potè olay
cuma meapatkaseparuh,kè ollè separo
"haa paai bicara, tidak ada hasila","kè ollè acaca bhâi, ta9â' hasèlla"
apakah bolehjika saya ya meaar?,bhâ' ollèa mosèko' sè ater?
hasil memai sedikit,o llè maè sakò'
sudah setahulebih,ella ollè sataolebbi
"pehidupaora bermacam-macam, rela hidup merut rezekia masi-masi","paorèbhâa orè a-bâma, oprè ḍi' salè-ollè"
"tidak meapatkaeka, malah meapati kesusahan",ta' ollè akaka. mèlo lècaa 
mehadapkakepala ke arah timur,aolo ka tèmor
saat seda bermaiDullah dipagil ibua disuruh membeli sesuatu.,"prappa' amaè Dulla èolok èbhu, èsoro lè-mellè"
"maa siti Mufarroha, kesehariaya dipagil Mufa.","ama siti mufarroha, rè-saarè èolok mufa"
ombak tampak putih berkejaran,ombâ' apotè bâ-tabâan
tadi saya melihat musa lari ke semak belukar.,ghi' bhuru sèko' atèla' mose buru ḍâ' bhut-ombhut
jika masih ada umur semoga bertemu lagi pada tahuya akadata,moghi' bâḍâ omor moghâ tatemmoa polè è taorjâte
membeli miak kelapa diwadahi kale.,mellè mèya' lettèk èbâḍḍhâi omplo
hijau pupus seperti daupisa ya masih muda.,bhiru ompos akaḍi' ḍâua gheḍḍhâ sè ghi' oḍâ
bayia muah kare terlalu kea.,bhâji' oa' amarghâ kakeyaan
kalau akamemasuki rumah terlebih dahulu haros lewat taga rumah,momaso' ka roma kodhu lèbât ghâllu è ḍhâk-ohâghân
ua-ua dasar 45,ḍhâ-ohâ ḍhâsar 45
belum perh.,ghi' ta' ò
ik dari dalam air,oghâ ḍâri aè
ik ke pepoho,oghâ ḍâ' ka'-bhukaan
meauk sampai beraguk-aguk.,aok dhâghâ gu'ogu'ân
mehadiri uaan,èar ka ohâan
ak gemuk itu kalau makasaat baak,ka' lempo rowa moakaaohemman
kare marah piria dilempar,pola pegghel pèrèa èoal
jika sekiraa dirasa sakit cepat melapil agar cepat sembuh.,"mokèra èghrâssa sakè' dhuli oal pil, ma' lè ceppet bàrâs"
ope-ope-ope aiya sudah berhembus pelapela,pè-opè opè aèa la alesser
urat leher otot pada leher,ora' lè' èr
bore ibu data dari pasar membawa oleh-oleh.,orè èbu' gâte ḍâri pasar èbâ lè-ollè
"saya tidak akamembayar, kare sebera belum pua ua","sèko' ghi' ta' majârrâ, jhâ' orè ghi' ta' ai' pèssè"
bukasaya ya meambil.,orè sèko' ta' ala'
meari pehasilauuk mehidupi diri seiri,arè paorèbhâèò abâ' dhibi'
tidak usah memberi tahu,ta' osa mâlâè
tidak usah membeli.,ta' osa mellè
meusap air mata,osap aè mata
berisi lima biji.,aoso' lèma mègghi'
saat khusuk ya bersembahya.,cè' oso' sè abhâjâ
sekara lagi musima durian,satèya teppa' som-osomma dhurin
saat meium bau ya busuk terus muah-muah.,bâkto èom bâu bâse lajhu ta-ota
laki ataua perempua,lakè' otabâ bì'?
"kamu boleh memilih ya berwar merah, ku atau hitam.","bâ' ollè mèlè sè abâma mèra, kò otabâ celle"
megu seiri kesalahaya diperbuata.,pa' a' mèa tokol 
kalah kare tidak seimba.,kala amarghâ ta' padḍhâ
"teu akapula, kare dimarahi.","paḍḍhâ molè, pola èghighiri"
biasaa ora miskitidak baak dikuui tamu.,mopaḍi kèpa' ta' èèarè ma' 
jika meapat kemalaajaacepat meeluh tapi jika meapat keberuuajaacepat terlalu se.,"paè' jhâ' dhuli palowa, màs jhâ' dhuli kaloḍu' "
mereka-reka kesalahaya diperbuat oleh ora lai,mapaèkasala orè laèn
memepes ikapari.,maès jhuko' parè
pahit mim jamu.,paèt èm jhâmo
kare tidak awas kakia terauk ke baru.,amarghâ ta' lijhelliasoko tapaggul ka bâta
halamaya berpagar bambu,pakaraaa apaghâr perrè
rumah besar itu berpagar besi,roma rajâ rowa apaghâr bessè
rumaha ora Ci berpagar kawat berduri,roma cè apaghâr kabâ' ḍuri
kelak jika aku dewasa iimeadi polisi.,paghi' mosèko' ellla dhibâsa terro dhâddhiâ plisi
meapat pahala dari ya maha kuasa.,ollè pahala ḍâri sè kobâsa
fajar sudah muul dari suatu tempat disebelah timur,pajjhâr ampoombâr ḍâri moghi tèmor
bara dagaaya laris semua,bhârâ dhâghâaa paju kabbhi
sepeda motora laku berapa?,sapèḍa motorra paju bârâmpa?
ua ribuai tidak berlaku lagi uuk membeli sesuatu.,pèssè èbuârèya ta' paju polè ghâbây lè-mellè
jika makapisa ya belum masak berasa sepet,moakagheḍḍhâ sè ghi' ta' massa' arassa paka'
sapia diberi pakarumput,sapè èpakà rebbhâ
"pali ek rujakamaga muda, bekoa, s dameimumemakai petis dari kelampis.","palè amaarojhâk pakèl, bito', las bâtèmoaghuy pettès ḍâri klampès"
saya disuruh ayah uuk memiam cakul.,abdhi èpakorama mouddhâ lau'
tidak bisa dipaksakan,ta' keè èpaksaaghi 
amat disayakauuk berpisah walau deaketerpaksaahati.,"èmaoghu sè apèsaa, sjjhâkepaksa atè"
tidak bisa mehasilka tidak meuuka,ta' keè palala
aka ya pali kecil itu saat kal,a' sè palè kè̀' rowa cè' tambea
pali-pali cuma dimarahi.,lè-palè coma èghighiri
dibacok dari arah belaka.,èpallko ḍâri buḍi
tidak ada paai besi ya memiliki buataya seiri,tadâ' pahi ai' calo' 
bermaikasir rembulan,apai sorra bulân
pakaiai saat bagus.,raso ghâpàka saè bhâet 
mohoampukepada Tuhaya,o' osapora ka Paèraa
Tuhaya Maha Agu.,Paogèrasè Maa Aghu
kudaa ditambatkake bata pohokelapa,jhârâa èpagher ka bhuka èor
"lama tidak bertemu, saya pali kepada kamu.",abit ta' atemmo sèko' palè ka bâ'
saya deakakakmu sebaya.,"sèko' bi, kaka' bâ' sapaaran"
kamu mema paas kalau meekajas.,bâ' lakar aes moakalambhiâjas
para hadiriya mulia.,para rabu sè moljâ
mempuai ak perawan,ai' a' parabân
"itu layar baak berkumpul tampak memutih, perahua sama-sama berlayar, satu tujuameju ke Madura","rowa' lajâr arapo' potè, parao paḍâ alajârâ sètto kakarebbhâjjhu ka Madhurâ"
pamaseda membajak sawah.,ghuttè parappa' asaka' sabâ
pua ak perempuasaat telate,ai' a' bì' cè' paratèa
sekara saya sudah percaya,satèya sèko' ella parcajâ
jaaterlalu percaya.,jhâ' jâ' parcajâ dhâllu
ya mei percuma terlalu lama ya meharapkaya.,"sè aḍâè' parcoma, karè abit sè areppaghi"
saya tidak peduli,bulâ ta' parḍuli
itu perkara mudah,jârèya parkara ghâmpa
"kalau i mia, berikasaja.","parkara ḍâgghi' mèa, berri' bhâi"
kok laas begitu,ma' pas ḍâ' iyâ
bila selesai makajaalaas tidur.,momarè akajhâ' pas lajhu tèḍu
alat uuk memarut ketela.,"masat memarut ketela, sat-pasat"
pasrah kepada Tuhaya Maha Kuasa,pasra ḍâ' ghustè Alla sè Maa Kobâsa
jaamudah memastikan,jhâ' ghâmpa mastèaghi
terus tera jelaskaagar supaya ada kepastia,ra-terraajharbâaghi ma'lè bâḍâ kapastèan
kira-kira hampir sia,pata para' sèya
hampir teah malam.,pata tea malem
memiahkabua mawar.,matar kembhâ mabâr
hidup bertetaga semestia sali mehargai.,oḍi' atataghâ mostè pata arghâi
tidak begitu masak,lo' patè massa'
tidak begitu merah,lo' patè mèra
tidak begitu melihat,ta' patè atèla'
tidak terlalu berasa.,ta' patè arassa
kuah deaikapia ya berbumbu keal bersaa,pèhâ kella patè
dikatakaterhadap ora ya malu kare diketahui seda melakukakejahatan,patè' temmo è tètè 
ikut atau turut kebiasaaara lain,ro' pato arè
ketagihamerokok.,mata ḍâ' roko'
roa kelili kampu.,pattrol kalèlè kampo
dibagi meadi tiga bagian,èpecca dhâddhi tello'
dikatakakepada ora ya moar-mair sibuk melakukapekerjaa,"apèddhel mara kèkèya, apèddhel mara kemèrè koera"
makarujak saat pedas kare terlalu baak lomboka.,akarojhâk cè' peḍḍhessâ pola cabbhi bâya' ghâllu
kakiku luka saat perih kare tersiram air.,ta soko loka cè' peddhi pola èkeè sèram aè
membak tupai di kebu,meḍḍhil ebbhu'è kebbhun
cabai rawit meski kecil saat pedas.,cabbhi lètè' makko kè̀' peḍḍhis oghu
basepedaa bocor tertusuk paku ya besar.,basapèḍa peḍḍhul tacoco' pako rajâ
layamekap ikamegukajari,orè majâ mèghâ' jhuko' aghuy jhâri
meerjakasesuatu heaka meiapkarea ya mata agar tidak ada akibat ya merugikan,mèghâ' jhuko' ta' lekko 
taa bersusah payah sesuatu ya diiiacepat diperoleh,mèghâ' â jhuko' ta' buḍḍhâgghâ cellot 
bua mawar sudah mulai mekar.,kembhâ mawar ella molaè mekkar
kalau dipiki-r deasuguh-suguh,moèpèkkèr bi' oghu
taaya diikat deatali,taa èpèkot bi' talè
setiap hari baak ora pergi ke pelabuhakamal.,sabbhâarè bâya' orè sè èar ka pelabbhuâkamal
piar bere disuai.,pèlak oy-laoyaè soay
semoga dipastikabahwa mema dirimulah pilihahatiku,malar moghâ èpastèaghi jhâ' dhika lakar pèlèaatè bulâ
ora Ci bermata sipit.,Cè arta pèlè'
kalau kal i dijewer teliaa.,motambe ḍâgghi' èpèles kopea
melipat leabaju.,melkot leea kalambhi
meiduk air bersih dabe diwadahi geo kecil.,ello' aè bhersè tor bheè èbâḍghâi peltè
adika ya sakit sudah agak sembuh.,alè' sè sakè' ella pèhân
di tepi paai,è pèghir sèrè
meisi leabaju.,mèkès leea kalambhi
air ya baru saja diambil dari sumur ditaruh di tempayan,aè sè ghi' bhuru èkala' ḍâri somor èsabâ' èpeay
"tempayaya jatuh retak, keraaa berukir-ukir, saya terlaur kel, selamaa meadi pikira","peayya ghâgghâr tear, karahâa kèr-okèra èmaa ajhâr keal salahâa kèr-pèkkèra"
selagi masih muda belajarlah ya rajisupaya kelak meadi ora ya piar.,mompo ghi' oḍâ pabhâjhe sè ajhâr ma'lè ghu'-agghu' d.hâddhi orè pèer
agerah ya diberikaoleh Allah.,peparè gâri Alla
suguh gembira hatiku bermaikasir rembulan,"pèrak oghu atè bulâ, apai sorra bulân"
luka dibetisa dibalut deaperba,loka èbettèssâ èperbà
masih belum percaya,ghi' ta' percajâ
ya pali dipercayai,sè palè èkapercajầ a.
"ya megu percuma, terlaur lama ya meharapkaya.","sè aḍâè' percoma, karè abit sè arepaghi"
kertasa diremas lalu dibua ke keraa,dhâlubâa èperkes pas èbuwâ ḍâ' karahâ
krupuk ya melempediremas-remas sampai haur.,krupu' sè kalmet èkes-perkes dhâghâ lessa
saya tidak betah lama berdiam di tempat ya ramai-ramai.,sèko' ta' pema abit -ee èmèrammèn
"iah apesisir Madura, kelihatadari jauh layar putih bertebara","pema oghu pasèsèr Madhurâ, kaoladhâgâri jhâu lajâr arao' apotè"
meteskamata deaair ya sudah dicampur deabua mawar.,èperraè aè mabâr
suaraa meadi parau kare terlalu baak berteriak.,sowara perrat amarghà bâya' ghâllu atowat
"juga bambu, mupeek-peek, juga ora muberparas jelek.","perrè kèya, kè ḍâ'pèâ' , orè kèya kè bâ'-jhubâ' "
"saat disayakaberpisah deau, walaupudeaketerpaksaahati.","èmaoghu sè apèsaa so dhika, sajjhâkepaksa atè"
"oh aku takkamelupakaseumaya, tidak ada ya lai haa dirimu ya selaiu·ada di hati.","ḍu bulâ ta' kèra loppa marghâ pèsemma, taḍâ' sè laè coma dhika sè bâḍâ è atè"
mim air lede ya sudah dimasak.,èm aè pèt sè marè èmassa'
meambil telur ayam di petaraan,ala' tellorra ajâm è petaraan
meskipusesaudara tidak akasama watak databiat diaara ya satu deasaudaraa ya lai,tellor sapefaraata' kèra paḍâ kabbhi 
memukaua daemas berpeti-peti.,mmo pèssè bâemmas aṭè-peṭṭè
baru saja dipetik,ghi' bhuru èpeṭṭèk 
memetik bua melati ya masih belum mekar,meṭṭèk kembhâ malatè sè ghi' ta' mekkar
ak ayam ya baru metas itu meicit-cicit.,pètè' sè ghi' bhuru teḍḍhâs rowa yok-pèyoghân
titik terjauh di timur sampai pohokelapa.,pocak tèmor ghâbhuka èyor
ak ya pekut itu saat pucat wajaha setelah dimarahi oleh gurua,"ka' sè tako'arowa robâ cè' poceddhâ, pola marè èghighiri ghuru"
putik buah maga bergugurasetelah hujaderas tadi malam.,pocèddhâ pao arooasamarè ojhâdherres malemma
sekara baak hutaditebai pepohoya sampai tidak bersisa,satèya bâya' alas sè èpogherri ka'-bhukaaa dhâghâ ta' akarè
meba kayu jati ya sudah mati megukagergaji mesi,mogher kaju jhâtè sè ella matè aghuy gârghâjhi messin
memuji syukur ke~adirat Allah,mojhi sokkor ka ajuAlla
dipuji-puji terus-merus,èjhi-pojhi ta' bu-ambu
pujiau uukmu jaaragukalagi.,pamojbi bulâ ka dhika pojhâ' kamama polè
jam tujuh lewat lima belas met.,polo pètto' lèbât lèma bellâs meèt
barakali kamu masih belum percaya,la-pola bâ' ghi' ta' parcajâ
aka ya kecil meis terus barakali belum diberi susu.,a' sè kè̀' ès malolo la-pola ghi' ta' èsosoè
jatuh kare licin,labu pola lècèn
adika meis kare mia dlbelikajaja,alè' ès pola mèa mellè jhâjhân
tidak lama lagi pasti pula.,ta' abit polè pastè molè
dikatakakepada ora ya beuk tubuha kecil tetapi terata kuat,lo'-moto'a kè̀' orèa cè' kellarra 
berkumpul uuk berembukan,apolo kaaghuy abhâk-rembhâk
"seampa belum dimulai, segera jemput temau.","pompa ghi' ta' èmalaè, dhuli sosol kaa"
aku tidak bisa memukiri bahwa aku meiaimu.,bulâ ta' bisa mokèrè atè jhâ' bulâ tarès ka dhika
lima bulaya lalu.,lèma bulâsè tapokor
gelisah hatiku memikirkadirimu.,posa atè bulâ mèkkèrè dhika
"bua melati, cempaka, kea memehi halamarumah","kembhâ malatè, cempaka , kaa massa'è palataran"
kolama dipehi air.,kolamma èpossa'è aè
berwar putih tula,abâma potè tola
ayam berbulu putih polos,ajâm abulu potè molos
"dikatakakepada ora ya kelihataya alim, tapi sebera berhati jahat",akaa potè tellor 
"dikatakakepada ora ya mempuai kekuasaa segala keiiya pasti terwujud kare segalaa bisa diukur deaua, ua adalah segala-galaa.","mapotèa ḍâḍâ potè, macellea dhâlko' celle "
memetik bua mawar,moṭèk kembhâ mabâr
jambu ya sudah masak cepat dipetik agar tidak dimakakelelawar.,jhâmbhu sè ella massa' dhuli potèk ma' lè ta' èkakabhâbbhuru
mematahkarai-rai ya keras.,motel ca'-raa' sè gherrâ
ora sepuh itu baak mempuai ak cucu.,orè seppo rowa bâya'' poto
"meusu piri ke dalam lumbu, heak meambil maladeagula, putusa bambu bisa disambu, putus pikulahila sak keluarga.","oso pèrè ka ḍâlem lombhu, ala' malabhâre so ghulâ, poto perrè èkeè sambhu, poto pèkolaèla sa' bhâlâ "
mempuai ak perempuan,"ghâḍhuâpottra bì' , ahi' a' bì' "
"putra putri Madura, mari semuaa uuk bersama-sama deasuguh-suguh meiai adat Madura ya sudah lama tidak di gali.","pottra pottrè Madhurâ, torè sadhâjâ paḍâ are-sare taroghu tarès adhât madhurâ sè ampoabit ta' èsarbi"
berhati-hatilah akatikah lakumu.,bi' prajhât dhika pratèka
"bermaksud iimeadi oa ya berpearuh, mutidak berdaya kare tidak mempuai kekuatasama sekali.",mara prao tapèpèt 
membeli gula seperempat kilo,mellè ghulâ saprapat kilo
meapat bagiahaa seperempat.,ollè bâgiâkè coma saprapat
pua ak laki-laki saat telate,ai' a' lakè' cè' pratèa
ora Ci kulita saat putih-putih.,orè Cè kolè' ti-puti
ya Allah ya Tuhau.,yâ Allah yâ Rabbi
belum data,ghi' ta' rabu
baru saja data.,ghi' bhuru rabu
bercepuk-cepuk di ombak ya dakal.,acak-kècak è ombâ' sè ca-raca
ruji sepedaa berkarat kare tidak dibersihka,raca' sapèḍa yyèpola ta' èghessot
meekapakaiaya tembus paa.,aghuy kalambhi araḍâ
sampai besemaat uuk memperoleh bagia,dhâghâ adhâ' raddhâ'sè terro ollèa bàgiân
ak gadis itu saat caik sekali,parabârowa cè' raddhia
"dikatakakepada ora ya suka sesumbar, mutidak perh terbukti akaucapaya",rajâ ghâluḍhugghâ ta' kèra rajâ ojhâa 
sembahya subuh dua rakaat.,abhâjâ sobbhu ḍuwâ' rakaat
jodoh damati ada ya meatur.,jhuḍhu bâpatè bâḍâ sè eraksa
jaaramai-ramai baak ora seda tidur.,jhâ' mè-rammè bâya' orè tèḍu
sempa keberkatadeaak cucu dalam kemakmura kesejahteraasampai hari tua,rampa' o bârièkoro adhuket roma
berakap dua,arampè ḍuwâ 1
buru emprit meloat-loat di rai pepoho,ma' keddhi' ca'-loa'aè raa' ka'-bhuka'an
aka ya berumur satu ahumulai belajar merakak-rakak.,a' sè aomor sataomolaè ajhâr ka'-raka'an
rambuta tumbuh jara-jara,obu' tombu ra-raa
saya jara pula ke Madura.,sèko' rara molè ka Madhurâ
mempersembahkalagu-lagu ya bagus dameekauuk didearka,mâkta sowara rareppèsè aghur tor marem pèreaa
perasaau suguh sedih,ta prasaaseḍḍhi oghu
dirasa-rasakakok tidak selesai-selesai,èsarassaaghi ma' ta' kaghik marè
rasaa belum pula.,rassa ghi' ta' molè
tidak rata,ta' rata a.
silsilah ketururaja Bakalan,rotomoroa rato Bhâkalan
di alualuratusaora berkumpul meokarapasapi.,è loloratosâorè paḍâ akompol ̀ghu kerrabhâsapè
tahu-tahu apia meala berkobar-kobar,mo-temmo apoyya rebbhâ
"besok hari Rabu, sekolah libur.",lagghu' arè rebbhu sakolaaprèi
perawacaik itu meadi rebutaperjaka di desaa,parabâraddhirowa dhâddhi rebbhu'âlaè oḍâ è dhisa
ribet merkai kaipaa.,rèbet sè aghuy sampèr
megigit dagi deasekuat tega kare saat keras atau tidak mudah digigit.,èkkè' dhâghi sambi cerecceapola ghâli otabâ ta' powa
ak itu saat ramah.,"ka, rowa cè' rècè"
gemar dalam meerjakasesuatu.,regghep sè akolakon
helum rezekia.,ghi' bâè rèjhekkè
saya diagap bukasaudaraa,sèko' èrèkebâè tarètaa
berurai air mata kare saat sedih.,be-rembe aè mata amarghâ cè' seḍḍhi
aka sudah lahir,a' ella rèmbi'
lahir pada saat hari besar.,rèmbi'è arè rajâ
